timestep,location,flow,occupy,speed
7525,35,25,0,0
7525,36,8,0,0
7525,37,8,0,0
7525,38,7,0,0
7525,39,7,0,0
7525,40,5,0,0
7525,41,2,0,0
7525,42,21,0,0
7525,43,11,0,0
7525,44,1,0,0
7525,45,0,0,0
7525,46,15,0,0
7826,0,51,0,0
7826,1,7,0,0
7826,2,6,0,0
7826,3,9,0,0
7826,4,97,0,0
7826,5,74,0,0
7826,6,0,0,0
7826,7,56,0,0
7826,8,0,0,0
7826,9,8,0,0
7826,10,21,0,0
7826,11,21,0,0
7826,12,14,0,0
7826,13,22,0,0
7826,14,6,0,0
7826,15,4,0,0
7826,16,4,0,0
7826,17,0,0,0
7826,18,1,0,0
7826,19,6,0,0
7826,20,2,0,0
7826,21,2,0,0
7826,22,0,0,0
7826,23,5,0,0
7826,24,0,0,0
7826,25,31,0,0
7826,26,20,0,0
7826,27,21,0,0
7826,28,76,0,0
7826,29,53,0,0
7826,30,13,0,0
7826,31,47,0,0
7826,32,38,0,0
7826,33,14,0,0
7826,34,8,0,0
7826,35,20,0,0
7826,36,1,0,0
7826,37,8,0,0
7826,38,12,0,0
7826,39,6,0,0
7826,40,5,0,0
7826,41,1,0,0
7826,42,17,0,0
7826,43,20,0,0
7826,44,7,0,0
7826,45,0,0,0
7826,46,9,0,0
8127,0,2,0,0
8127,1,5,0,0
8127,2,4,0,0
8127,3,5,0,0
8127,4,2,0,0
8127,5,30,0,0
8127,6,0,0,0
8127,7,27,0,0
8127,8,0,0,0
8127,9,0,0,0
8127,10,3,0,0
8127,11,2,0,0
8127,12,9,0,0
8127,13,9,0,0
8127,14,5,0,0
8127,15,4,0,0
8127,16,4,0,0
8127,17,0,0,0
8127,18,1,0,0
8127,19,4,0,0
8127,20,0,0,0
8127,21,1,0,0
8127,22,0,0,0
8127,23,5,0,0
8127,24,0,0,0
8127,25,16,0,0
8127,26,14,0,0
8127,27,8,0,0
8127,28,24,0,0
8127,29,17,0,0
8127,30,5,0,0
8127,31,22,0,0
8127,32,20,0,0
8127,33,4,0,0
8127,34,7,0,0
8127,35,2,0,0
8127,36,1,0,0
8127,37,5,0,0
8127,38,8,0,0
8127,39,5,0,0
8127,40,4,0,0
8127,41,0,0,0
8127,42,5,0,0
8127,43,9,0,0
8127,44,1,0,0
8127,45,0,0,0
8127,46,10,0,0
8428,0,8,0,0
8428,1,5,0,0
8428,2,1,0,0
8428,3,4,0,0
8428,4,106,0,0
8428,5,49,0,0
8428,6,0,0,0
8428,7,29,0,0
8428,8,0,0,0
8428,9,5,0,0
