timestep,location,flow,occupy,speed
8428,19,3,1,1
8428,20,5,1,1
8729,2,1,1,1
8729,3,114,1,1
8729,4,60,1,1
8729,5,24,1,1
8729,6,2,1,1
8729,7,10,1,1
8729,8,2,1,1
8729,9,3,1,1
8729,10,2,1,1
8729,11,52,1,1
8729,12,31,1,1
8729,13,7,1,1
8729,14,19,1,1
8729,15,2,1,1
8729,16,7,1,1
8729,17,10,1,1
8729,18,12,1,1
8729,19,11,1,1
8729,20,2,1,1
9030,2,1,1,1
9030,3,15,1,1
9030,4,27,1,1
9030,5,21,1,1
9030,6,1,1,1
9030,7,12,1,1
9030,8,3,1,1
9030,9,7,1,1
9030,10,18,1,1
9030,11,29,1,1
9030,12,17,1,1
9030,13,42,1,1
9030,14,20,1,1
9030,15,14,1,1
9030,16,26,1,1
9030,17,11,1,1
9030,18,29,1,1
9030,19,12,1,1
9030,20,7,1,1
9331,2,89,1,1
9331,3,155,1,1
9331,4,83,1,1
9331,5,18,1,1
9331,6,1,1,1
9331,7,6,1,1
9331,8,3,1,1
9331,9,2,1,1
9331,10,9,1,1
9331,11,25,1,1
9331,12,49,1,1
9331,13,169,1,1
9331,14,28,1,1
9331,15,3,1,1
9331,16,7,1,1
9331,17,3,1,1
9331,18,26,1,1
9331,19,5,1,1
9331,20,2,1,1
9632,2,47,1,1
9632,3,130,1,1
9632,4,88,1,1
9632,5,25,1,1
9632,6,1,1,1
9632,7,17,1,1
9632,8,4,1,1
9632,9,0,1,1
9632,10,22,1,1
9632,11,89,1,1
9632,12,44,1,1
9632,13,61,1,1
9632,14,43,1,1
9632,15,7,1,1
9632,16,29,1,1
9632,17,20,1,1
9632,18,28,1,1
9632,19,7,1,1
9632,20,0,1,1
9933,2,17,1,1
9933,3,125,1,1
9933,4,94,1,1
9933,5,32,1,1
9933,6,1,1,1
9933,7,11,1,1
9933,8,5,1,1
9933,9,6,1,1
9933,10,43,1,1
9933,11,74,1,1
9933,12,54,1,1
9933,13,72,1,1
9933,14,55,1,1
9933,15,14,1,1
9933,16,30,1,1
9933,17,19,1,1
9933,18,42,1,1
9933,19,18,1,1
9933,20,5,1,1
10234,2,32,1,1
10234,3,122,1,1
10234,4,74,1,1
10234,5,16,1,1
10234,6,1,1,1
10234,7,7,1,1
10234,8,5,1,1
10234,9,1,1,1
10234,10,40,1,1
10234,11,44,1,1
10234,12,46,1,1
10234,13,73,1,1
10234,14,36,1,1
10234,15,4,1,1
10234,16,11,1,1
10234,17,5,1,1
10234,18,24,1,1
10234,19,3,1,1
10234,20,0,1,1
10535,2,50,1,1
10535,3,114,1,1
10535,4,56,1,1
10535,5,25,1,1
10535,6,2,1,1
10535,7,15,1,1
10535,8,5,1,1
10535,9,2,1,1
10535,10,29,1,1
10535,11,50,1,1
10535,12,37,1,1
10535,13,95,1,1
10535,14,32,1,1
10535,15,4,1,1
10535,16,13,1,1
10535,17,7,1,1
10535,18,27,1,1
10535,19,4,1,1
10535,20,0,1,1
10836,2,27,1,1
10836,3,151,1,1
10836,4,83,1,1
10836,5,17,1,1
10836,6,2,1,1
10836,7,10,1,1
10836,8,3,1,1
10836,9,0,1,1
10836,10,42,1,1
